ID,Group,Major,Turn,CI,V,R,Prompt
C013,Low,Electronic Eng,5,L3,V3,R3,"我设计了一个二阶巴特沃斯滤波器，R=1k, C=33nF。请验证截止频率是否正确。"
C013,Low,Electronic Eng,6,L2,V2,R2,我的PCB布局中有一条时钟线产生辐射超标。我想用包地处理。请详细说明包地的设计规则（线间距、过孔间距等）。
C014,Low,Literature,1,L2,V2,,分析林黛玉的性格特点，列出三点。
C014,Low,Literature,2,L3,V2,R2,我写了一句：‘月光如水，静静地流泻在窗棂上。’请评价并帮我修改得更有意境。
C014,Low,Literature,3,L2,V2,,《老人与海》中的象征手法有哪些？
C014,Low,Literature,4,L3,V2,R2,我认为哈姆雷特的犹豫源于宗教束缚，你对此有什么反驳？
C014,Low,Literature,5,L4,V3,R3,你解读的‘采菊东篱下’与陶渊明其他诗作矛盾，请提供文本依据。
C014,Low,Literature,6,L3,V2,R1,我修改了那句“月光如水”为“月光像冷却的锡箔，皱巴巴地铺在瓦上”。请评价哪个更好，并说明理由。
C015,Low,Mathematics,1,L3,V2,R2,这个级数收敛吗？我用比值判别法得到ρ=1，接下来怎么办？
C015,Low,Mathematics,2,L2,V2,,什么是条件概率？举例说明。
C015,Low,Mathematics,3,L3,V2,R2,我算的极限是0，但答案说极限不存在。步骤：……请帮我检查。
C015,Low,Mathematics,4,L2,V2,R2,解释一下泰勒展开的原理。
C015,Low,Mathematics,5,L3,V3,R3,这个级数收敛吗？我用比值判别法得到ρ=1，接下来怎么办？
C015,Low,Mathematics,6,L2,V2,R2,我在学习傅里叶变换，但理解不了频域和时域的关系。请用声音信号的例子，分三步解释如何从时域转换到频域。
C016,Low,Chemistry,1,L2,V2,,如何配平氧化还原反应？步骤是什么？
C016,Low,Chemistry,2,L3,V2,R2,我合成了阿司匹林，产率只有65%，可能原因？我的步骤：……。
C016,Low,Chemistry,3,L2,V2,,解释SN1和SN2反应的区别。
C016,Low,Chemistry,4,L3,V2,R2,这个反应机理我画了，但中间体不稳定，请指正。
C016,Low,Chemistry,5,L4,V3,R3,你给的电负性数值与Pauling原始数据不同，请确认。
C016,Low,Chemistry,6,L3,V3,R3,你建议的配平方法对高锰酸钾与草酸反应不适用。我实际配平发现电子转移数不同。请重新配平并给出系数验证。
C017,Low,Biology,1,L3,V2,R2,我认为这个进化树的分支有问题，因为线粒体数据不支持，你怎么看？
C017,Low,Biology,2,L2,V2,,什么是生态位？举例。
C017,Low,Biology,3,L3,V2,R2,我设计了一个实验验证温度对酶活性的影响，但结果反常。方案：……，哪里出问题了？
C017,Low,Biology,4,L2,V2,R2,有丝分裂和减数分裂的区别？列表说明。
C017,Low,Biology,5,L3,V3,R3,我认为这个进化树的分支有问题，因为线粒体数据不支持，你怎么看？
C017,Low,Biology,6,L2,V2,R1,我要做一个关于生态系统稳定性的海报。请帮我规划三个板块：概念定义、影响因素、案例研究。每个板块给出3个关键词。
C018,Low,History,1,L2,V2,,分析辛亥革命失败的原因。
C018,Low,History,2,L3,V2,R2,我认为洋务运动促进了民族资本主义，但教材说它阻碍了。你的观点？
C018,Low,History,3,L2,V2,,罗马帝国分裂的内外因素有哪些？
C018,Low,History,4,L3,V2,R2,我的论文观点：冷战始于1947年杜鲁门主义。你有反例吗？
C018,Low,History,5,L4,V3,R3,你提到的条约签订年份与《剑桥中国史》不符，请核实。
C018,Low,History,6,L3,V2,R2,我认为罗马帝国分裂的主因是经济重心转移，而非你之前说的军事危机。请列举支持经济因素的三个史料证据。
C019,Low,Computer Science,1,L3,V2,R2,我的排序算法时间复杂度太高，这是代码……怎样改进？
C019,Low,Computer Science,2,L2,V2,,Python中列表和元组的区别是什么？请举例。
C019,Low,Computer Science,3,L3,V2,R2,"我写了一个二分查找，但栈溢出。代码：`def binary_search(arr,target):...` 请帮我看看问题在哪。"
C019,Low,Computer Science,4,L2,V2,R2,什么是RESTful API？请分步骤说明。
C019,Low,Computer Science,5,L3,V3,R3,这段代码运行结果不对，我怀疑是循环边界问题，你能分析一下吗？
C019,Low,Computer Science,6,L4,V3,R3,你建议的RESTful API设计使用了动词，不符合规范。请查阅RFC 7231，然后修正为正确的方法名（GET/POST/PUT/DELETE）。
C020,Low,Physics,1,L2,V2,,如何推导单摆周期公式？一步步来。
C020,Low,Physics,2,L3,V2,R2,我的实验数据：摆长1m，周期2.01s，但理论值2.006s。可能误差来源？
C020,Low,Physics,3,L2,V2,,麦克斯韦方程组的物理意义是什么？
C020,Low,Physics,4,L3,V2,R2,我计算一个滑块在斜面上的受力：mgsinθ - μmgcosθ = ma。但答案不同，我哪里错了？
C020,Low,Physics,5,L4,V3,R3,你给的普朗克常数数值是6.626×10^{-34}，但最新CODATA值是6.62607015×10^{-34}，为什么不一致？
C020,Low,Physics,6,L2,V2,R1,我准备参加物理竞赛，需要复习电磁学。请帮我制定一个两周复习计划，每天2小时，涵盖静电场、恒定磁场、电磁感应。
C021,Low,Economics,1,L3,V2,R2,我认为通胀预期会导致菲利普斯曲线右移，你同意吗？为什么？
C021,Low,Economics,2,L2,V2,,什么是机会成本？举个例子。
C021,Low,Economics,3,L3,V2,R2,我的回归模型：Y=2+0.5X，但R方只有0.3。模型有问题吗？
C021,Low,Economics,4,L2,V2,R2,供求曲线移动如何影响均衡价格？分步骤说明。
C021,Low,Economics,5,L3,V3,R3,我认为通胀预期会导致菲利普斯曲线右移，你同意吗？为什么？
C021,Low,Economics,6,L3,V2,R2,"我的回归模型加入交互项后R方提升到0.65。我想检验交互项是否显著。请写出假设检验的完整步骤（H0, H1, 统计量, 决策规则）。"
C022,Low,Electronic Eng,1,L2,V2,,如何计算RC低通滤波器的截止频率？步骤是什么？
C022,Low,Electronic Eng,2,L3,V2,R2,这是我的PCB布局截图，请指出可能存在的信号完整性问题。
C022,Low,Electronic Eng,3,L2,V2,,解释一下什么是‘虚短’和‘虚断’。
C022,Low,Electronic Eng,4,L3,V2,R2,"我设计了一个二阶巴特沃斯滤波器，R=1k, C=33nF。请验证截止频率是否正确。"
C022,Low,Electronic Eng,5,L4,V3,R3,你推荐的LM358在5V单电源下能输出满幅吗？请查数据手册确认。
C022,Low,Electronic Eng,6,L2,V2,R1,我需要用Multisim仿真一个文氏电桥振荡器。请给出仿真步骤：元件选择、参数设置、起振条件观察、失真分析。
C023,Low,Literature,1,L3,V2,R2,我认为哈姆雷特的犹豫源于宗教束缚，你对此有什么反驳？
C023,Low,Literature,2,L2,V2,,《老人与海》中的象征手法有哪些？
C023,Low,Literature,3,L3,V2,R2,我写了一句：‘月光如水，静静地流泻在窗棂上。’请评价并帮我修改得更有意境。
C023,Low,Literature,4,L2,V2,R2,分析林黛玉的性格特点，列出三点。
C023,Low,Literature,5,L3,V3,R3,我认为哈姆雷特的犹豫源于宗教束缚，你对此有什么反驳？
C023,Low,Literature,6,L3,V3,R3,你解读《老人与海》中“狮子”象征时，忽略了海明威非洲狩猎经历的影响。请补充这个视角并重新分析。
C024,Low,Mathematics,1,L2,V2,,什么是条件概率？举例说明。
C024,Low,Mathematics,2,L3,V2,R2,我算的极限是0，但答案说极限不存在。步骤：……请帮我检查。
C024,Low,Mathematics,3,L2,V2,,解释一下泰勒展开的原理。
C024,Low,Mathematics,4,L3,V2,R2,这个级数收敛吗？我用比值判别法得到ρ=1，接下来怎么办？
C024,Low,Mathematics,5,L4,V3,R3,你证明中假设了函数连续，但题目条件只给可积，这个假设成立吗？
C024,Low,Mathematics,6,L2,V2,R2,我在学习线性代数中的特征值分解。请用3x3矩阵举例，手算演示特征值和特征向量的求解过程，并解释几何意义。
C025,Low,Chemistry,1,L3,V2,R2,这个反应机理我画了，但中间体不稳定，请指正。
C025,Low,Chemistry,2,L2,V2,,解释SN1和SN2反应的区别。
C025,Low,Chemistry,3,L3,V2,R2,我合成了阿司匹林，产率只有65%，可能原因？我的步骤：……。
C025,Low,Chemistry,4,L2,V2,R2,如何配平氧化还原反应？步骤是什么？
C025,Low,Chemistry,5,L3,V3,R3,这个反应机理我画了，但中间体不稳定，请指正。
C025,Low,Chemistry,6,L3,V2,R1,我的产率优化实验发现催化剂用量0.5g最佳。我想探索温度的影响。请设计一个5水平、3次重复的温度实验方案。
C026,Low,Biology,1,L2,V2,,有丝分裂和减数分裂的区别？列表说明。
C026,Low,Biology,2,L3,V2,R2,我设计了一个实验验证温度对酶活性的影响，但结果反常。方案：……，哪里出问题了？
C026,Low,Biology,3,L2,V2,,什么是生态位？举例。
C026,Low,Biology,4,L3,V2,R2,我认为这个进化树的分支有问题，因为线粒体数据不支持，你怎么看？
C026,Low,Biology,5,L4,V3,R3,你提到的物种名称在ITIS数据库中查不到，请提供正确的拉丁学名。
C026,Low,Biology,6,L2,V2,R2,我观察到某种植物在不同光照下的叶色变化。我想写一篇观察报告。请帮我组织：引言、方法、结果、讨论、结论的结构。
C027,Low,History,1,L3,V2,R2,我的论文观点：冷战始于1947年杜鲁门主义。你有反例吗？
C027,Low,History,2,L2,V2,,罗马帝国分裂的内外因素有哪些？
C027,Low,History,3,L3,V2,R2,我认为洋务运动促进了民族资本主义，但教材说它阻碍了。你的观点？
C027,Low,History,4,L2,V2,R2,分析辛亥革命失败的原因。
C027,Low,History,5,L3,V3,R3,我的论文观点：冷战始于1947年杜鲁门主义。你有反例吗？
C027,Low,History,6,L3,V3,R3,你说冷战始于1947年杜鲁门主义，但1946年丘吉尔铁幕演说已被广泛视为起点。请解释你的分期依据，并回应这一挑战。
C028,Low,Computer Science,1,L2,V2,,什么是RESTful API？请分步骤说明。
C028,Low,Computer Science,2,L3,V2,R2,我设计了数据库表结构：用户表、订单表。请帮我检查是否有冗余。
C028,Low,Computer Science,3,L2,V2,,如何优化这段SQL查询？先给我思路。
C028,Low,Computer Science,4,L3,V2,R2,这段代码运行结果不对，我怀疑是循环边界问题，你能分析一下吗？
C028,Low,Computer Science,5,L4,V3,R3,你建议用Django，但我在官方文档看到Flask更适合轻量级。能提供权威出处吗？
C028,Low,Computer Science,6,L2,V2,R1,我需要用Docker部署一个Flask应用。请给出Dockerfile和docker-compose.yml的模板，并解释每个指令的作用。
C029,Low,Physics,1,L3,V2,R2,我的实验数据：摆长1m，周期2.01s，但理论值2.006s。可能误差来源？
C029,Low,Physics,2,L2,V2,,麦克斯韦方程组的物理意义是什么？
C029,Low,Physics,3,L3,V2,R2,我计算一个滑块在斜面上的受力：mgsinθ - μmgcosθ = ma。但答案不同，我哪里错了？
C029,Low,Physics,4,L2,V2,R2,如何推导单摆周期公式？一步步来。
C029,Low,Physics,5,L3,V3,R3,我的实验数据：摆长1m，周期2.01s，但理论值2.006s。可能误差来源？
C029,Low,Physics,6,L3,V2,R2,我的实验数据显示单摆周期与摆角呈二次关系。我想拟合出T = T0*(1 + k*θ²)。请指导如何用最小二乘法求k和误差。
C030,Low,Economics,1,L2,V2,,什么是机会成本？举个例子。
C030,Low,Economics,2,L3,V2,R2,我的回归模型：Y=2+0.5X，但R方只有0.3。模型有问题吗？
C030,Low,Economics,3,L2,V2,,供求曲线移动如何影响均衡价格？分步骤说明。
C030,Low,Economics,4,L3,V2,R2,我认为通胀预期会导致菲利普斯曲线右移，你同意吗？为什么？
C030,Low,Economics,5,L4,V3,R3,你引用的CPI数据来自哪一年？国家统计局最新数据是2023年，请核对。
C030,Low,Economics,6,L4,V3,R3,你举的机会成本例子中忽略了货币时间价值。请重新计算考虑折现率的机会成本，并展示公式。
C031,Low,Electronic Eng,1,L3,V2,R2,这是我的PCB布局截图，请指出可能存在的信号完整性问题。
C031,Low,Electronic Eng,2,L2,V2,,解释一下什么是‘虚短’和‘虚断’。
C031,Low,Electronic Eng,3,L3,V2,R2,"我设计了一个二阶巴特沃斯滤波器，R=1k, C=33nF。请验证截止频率是否正确。"
C031,Low,Electronic Eng,4,L2,V2,R2,如何计算RC低通滤波器的截止频率？步骤是什么？
C031,Low,Electronic Eng,5,L3,V3,R3,这是我的PCB布局截图，请指出可能存在的信号完整性问题。
C031,Low,Electronic Eng,6,L2,V2,R1,我需要用逻辑分析仪抓取I2C时序。请说明探头连接、触发设置、采样率选择、解码配置的步骤。
C032,Low,Literature,1,L2,V2,,分析林黛玉的性格特点，列出三点。
C032,Low,Literature,2,L3,V2,R2,我认为哈姆雷特的犹豫源于宗教束缚，你对此有什么反驳？
C032,Low,Literature,3,L2,V2,,《老人与海》中的象征手法有哪些？
C032,Low,Literature,4,L3,V2,R2,我写了一句：‘月光如水，静静地流泻在窗棂上。’请评价并帮我修改得更有意境。
C032,Low,Literature,5,L4,V3,R3,你解读的‘采菊东篱下’与陶渊明其他诗作矛盾，请提供文本依据。
C032,Low,Literature,6,L3,V2,R2,我对比了“孤独”的两个排比句版本，一个偏悲伤，一个偏平静。请分析两者的意象差异和情感效果，帮我选择投稿版本。
C033,Low,Mathematics,1,L3,V2,R2,我算的极限是0，但答案说极限不存在。步骤：……请帮我检查。
C033,Low,Mathematics,2,L2,V2,,解释一下泰勒展开的原理。
C033,Low,Mathematics,3,L3,V2,R2,这个级数收敛吗？我用比值判别法得到ρ=1，接下来怎么办？
C033,Low,Mathematics,4,L2,V2,R2,什么是条件概率？举例说明。
C033,Low,Mathematics,5,L3,V3,R3,我算的极限是0，但答案说极限不存在。步骤：……请帮我检查。
C033,Low,Mathematics,6,L2,V2,R1,我在复习概率论，准备考试。请帮我归纳常见分布（二项、泊松、正态、指数）的关系图和转换条件。
C034,Low,Chemistry,1,L2,V2,,如何配平氧化还原反应？步骤是什么？
C034,Low,Chemistry,2,L3,V2,R2,这个反应机理我画了，但中间体不稳定，请指正。
C034,Low,Chemistry,3,L2,V2,,解释SN1和SN2反应的区别。
C034,Low,Chemistry,4,L3,V2,R2,我合成了阿司匹林，产率只有65%，可能原因？我的步骤：……。
C034,Low,Chemistry,5,L4,V3,R3,你给的电负性数值与Pauling原始数据不同，请确认。
C034,Low,Chemistry,6,L3,V3,R3,你给的电负性数值中，氟为3.98，但Pauling原始数据是4.0。请确认是否采用不同标度，并说明对电负性差值计算的影响。
C035,Low,Biology,1,L3,V2,R2,我设计了一个实验验证温度对酶活性的影响，但结果反常。方案：……，哪里出问题了？
C035,Low,Biology,2,L2,V2,,什么是生态位？举例。
C035,Low,Biology,3,L3,V2,R2,我认为这个进化树的分支有问题，因为线粒体数据不支持，你怎么看？
C035,Low,Biology,4,L2,V2,R2,有丝分裂和减数分裂的区别？列表说明。
C035,Low,Biology,5,L3,V3,R3,我设计了一个实验验证温度对酶活性的影响，但结果反常。方案：……，哪里出问题了？
C035,Low,Biology,6,L2,V2,R2,我设计了一个探究pH对淀粉酶活性的实验。请帮我列出需要控制的变量（至少5个）以及如何控制。
C036,Low,History,1,L2,V2,,分析辛亥革命失败的原因。
C036,Low,History,2,L3,V2,R2,我的论文观点：冷战始于1947年杜鲁门主义。你有反例吗？
C036,Low,History,3,L2,V2,,罗马帝国分裂的内外因素有哪些？
C036,Low,History,4,L3,V2,R2,我认为洋务运动促进了民族资本主义，但教材说它阻碍了。你的观点？
C036,Low,History,5,L4,V3,R3,你提到的条约签订年份与《剑桥中国史》不符，请核实。
C036,Low,History,6,L3,V2,R1,我的论文题目是“甲午战争前后的中日舆论战”。请帮我构思三个子论点，每个子论点提供两个可能的史料来源。
C037,Low,Computer Science,1,L3,V2,R2,"我写了一个二分查找，但栈溢出。代码：`def binary_search(arr,target):...` 请帮我看看问题在哪。"
C037,Low,Computer Science,2,L2,V2,,递归和迭代哪个效率更高？能讲一下原理吗？
C037,Low,Computer Science,3,L3,V2,R2,我的排序算法时间复杂度太高，这是代码……怎样改进？
C037,Low,Computer Science,4,L2,V2,R2,如何优化这段SQL查询？先给我思路。
C037,Low,Computer Science,5,L3,V3,R3,"我写了一个二分查找，但栈溢出。代码：`def binary_search(arr,target):...` 请帮我看看问题在哪。"
C037,Low,Computer Science,6,L4,V3,R3,你提供的快速排序代码在处理重复元素时会出现无限递归。请修复这个bug，并解释为什么经典实现需要处理等值情况。
C038,Low,Physics,1,L2,V2,,如何推导单摆周期公式？一步步来。
C038,Low,Physics,2,L3,V2,R2,我计算一个滑块在斜面上的受力：mgsinθ - μmgcosθ = ma。但答案不同，我哪里错了？
C038,Low,Physics,3,L2,V2,,麦克斯韦方程组的物理意义是什么？
C038,Low,Physics,4,L3,V2,R2,我的实验数据：摆长1m，周期2.01s，但理论值2.006s。可能误差来源？
C038,Low,Physics,5,L4,V3,R3,你给的普朗克常数数值是6.626×10^{-34}，但最新CODATA值是6.62607015×10^{-34}，为什么不一致？
C038,Low,Physics,6,L2,V2,R2,我想用Tracker软件分析抛体运动视频。请给出操作流程：标定尺度、追踪轨迹、拟合抛物线、提取初速度和角度。
C039,Low,Economics,1,L3,V2,R2,我的回归模型：Y=2+0.5X，但R方只有0.3。模型有问题吗？
C039,Low,Economics,2,L2,V2,,供求曲线移动如何影响均衡价格？分步骤说明。
C039,Low,Economics,3,L3,V2,R2,我认为通胀预期会导致菲利普斯曲线右移，你同意吗？为什么？
C039,Low,Economics,4,L2,V2,R2,什么是机会成本？举个例子。
C039,Low,Economics,5,L3,V3,R3,我的回归模型：Y=2+0.5X，但R方只有0.3。模型有问题吗？
C039,Low,Economics,6,L3,V2,R1,我收集了某商品10年的价格和销量数据。我想做需求弹性分析。请指导如何用对数线性模型回归，并解释弹性系数的含义。
C040,Low,Electronic Eng,1,L2,V2,,如何计算RC低通滤波器的截止频率？步骤是什么？
C040,Low,Electronic Eng,2,L3,V2,R2,"我设计了一个二阶巴特沃斯滤波器，R=1k, C=33nF。请验证截止频率是否正确。"
C040,Low,Electronic Eng,3,L2,V2,,解释一下什么是‘虚短’和‘虚断’。
C040,Low,Electronic Eng,4,L3,V2,R2,这是我的PCB布局截图，请指出可能存在的信号完整性问题。
C040,Low,Electronic Eng,5,L4,V3,R3,你推荐的LM358在5V单电源下能输出满幅吗？请查数据手册确认。
C040,Low,Electronic Eng,6,L2,V2,R2,我的STM32程序在中断中卡死。我怀疑是优先级问题。请说明如何设置NVIC优先级分组和抢占优先级。
C041,Low,Literature,1,L3,V2,R2,我写了一句：‘月光如水，静静地流泻在窗棂上。’请评价并帮我修改得更有意境。
C041,Low,Literature,2,L2,V2,,分析林黛玉的性格特点，列出三点。
C041,Low,Literature,3,L3,V2,R2,我认为哈姆雷特的犹豫源于宗教束缚，你对此有什么反驳？
C041,Low,Literature,4,L2,V2,R2,《老人与海》中的象征手法有哪些？
C041,Low,Literature,5,L3,V3,R3,我写了一句：‘月光如水，静静地流泻在窗棂上。’请评价并帮我修改得更有意境。
C041,Low,Literature,6,L3,V2,R1,我在分析哈姆雷特的“延宕”问题。请帮我对比精神分析批评和新历史主义批评的不同解释框架。
C042,Low,Mathematics,1,L2,V2,,解释一下泰勒展开的原理。
C042,Low,Mathematics,2,L3,V2,R2,这个级数收敛吗？我用比值判别法得到ρ=1，接下来怎么办？
C042,Low,Mathematics,3,L2,V2,,什么是条件概率？举例说明。
C042,Low,Mathematics,4,L3,V2,R2,我算的极限是0，但答案说极限不存在。步骤：……请帮我检查。
C042,Low,Mathematics,5,L4,V3,R3,你证明中假设了函数连续，但题目条件只给可积，这个假设成立吗？
C042,Low,Mathematics,6,L2,V2,R2,"我需要用拉格朗日乘数法求条件极值。请以一个具体函数f(x,y)=x²+y²约束x+y=1为例，手算全过程。"
C043,Low,Chemistry,1,L3,V2,R2,我合成了阿司匹林，产率只有65%，可能原因？我的步骤：……。
C043,Low,Chemistry,2,L2,V2,,如何配平氧化还原反应？步骤是什么？
