ID,性别,年级,专业,使用时长,主要使用场景,使用态度,提问能力,信息核实,效率提升,使用ChatGPT_闭卷课程,使用ChatGPT_闭卷成绩,使用ChatGPT_开卷课程,使用ChatGPT_开卷成绩,不使用ChatGPT_闭卷课程,不使用ChatGPT_闭卷成绩,不使用ChatGPT_开卷课程,不使用ChatGPT_开卷成绩,学习渠道_1,学习渠道_2,学习渠道_3,学习渠道_4,学习渠道_5,Q15_知识联系,Q16_减轻负担,Q17_反思方法,Q18_批判审视,Q19_问题解决,Q20_深度思考,Q21_主动查证,Q22_激发创意,Q23_信息素养,Q24_掌控感,Q25_胜任感,Q26_归属感,Q27_兴趣提升,Q28_减轻焦虑,Q29_依赖内疚,Q30_担心落后,Q31_探索乐趣,Q32_弥补漏洞,Q33_个性化,Q34_情感不可替代,Q35_教学方法改革,Q36_融入课堂,Q37_注重过程,Q38_角色转变,Q39_担心关注减少,Q40_利大于弊,Q41_平衡使用,Q42_职业重要,Q43_隐私担忧,Q44_制定规则,Q45_支持课程,Q46_减少讨论,Q47_促进公平,Q48_加剧不平等,Q49_驾驭AI,Q50_未来乐观,Q51_思维不可替代,使用时长_数值,使用态度_数值,提问能力_数值,信息核实_数值,效率提升_数值,认知特质,动机特质,教学特质,综合特质
RESP_011,男,2022级,人文与艺术类（含文学、历史、哲学、新闻等）,频繁使用（16小时以上）,文本润色、翻译与内容总结,非常积极,比较强,有时会,提升较大,史学理论与方法,81,文化创意产业,89,传播学理论,87,修辞学,88,0,1,1,0,1,E,E,E,C,D,D,E,E,E,E,E,D,E,E,E,E,E,B,D,B,C,D,C,D,C,E,E,D,C,D,E,E,B,E,E,C,E,4,5,4,3,4,1.816874267,2.444967714,-0.04903604,0.876556963
RESP_012,女,2021级及以前,数学与统计类,频繁使用（16小时以上）,编程辅助与代码调试,比较积极,比较强,有时会,提升较大,复变函数,86,多元统计分析,94,泛函分析,91,数学建模,92,0,0,1,1,0,D,D,D,E,C,C,D,E,D,A,A,A,A,A,A,A,A,C,A,C,D,C,D,D,E,B,B,C,C,E,B,D,C,B,E,B,B,4,4,4,3,4,1.201387123,-1.269405281,0.743360192,-0.362623759
RESP_013,女,2021级及以前,数学与统计类,频繁使用（16小时以上）,生成创意、获取灵感和写作大纲,比较积极,比较弱,有时会,一般,复变函数,73,优化方法,82,线性代数,79,精算学基础,81,0,1,1,1,1,C,B,B,D,A,B,C,A,C,B,A,E,C,A,D,C,A,E,B,C,A,B,B,B,A,C,A,C,B,B,C,D,E,C,B,D,B,4,4,2,3,3,-0.558086311,-1.470791921,-0.551513484,0.018418379
RESP_014,女,2024级,数学与统计类,中等使用（8-15小时）,搜集和概括文献资料,比较积极,一般,有时会,提升较小,数理逻辑,77,优化方法,85,抽象代数,82,数学史,84,0,1,1,1,1,D,A,C,B,A,C,C,A,B,C,E,E,D,E,D,D,D,A,E,C,A,D,D,C,C,C,B,B,D,B,D,C,C,B,D,C,A,3,4,3,3,2,-0.975489047,2.84575198,0.129221182,-0.190605205
RESP_015,女,2023级,数学与统计类,较少使用（1-7小时）,搜集和概括文献资料,中立,一般,总是会,提升较小,词汇学,86,外语文学鉴赏,94,外国文学史,89,外语写作技巧,91,0,0,0,1,1,E,A,B,C,C,C,C,A,B,B,A,A,A,D,E,D,D,D,A,A,D,B,B,C,D,D,C,C,D,C,C,C,C,D,C,D,D,2,3,3,5,2,-0.294360412,-0.573662007,-0.546858941,-0.33275327
RESP_016,男,2021级及以前,生化环材类（包含环境工程、化学、生物学、材料等）,频繁使用（16小时以上）,生成创意、获取灵感和写作大纲,非常积极,一般,很少会,提升非常大,遗传学,84,生态保护,92,细胞生物学,88,食品科学,89,0,1,0,0,1,E,E,E,D,E,D,E,E,E,B,A,B,C,B,C,A,B,E,C,E,E,E,D,E,E,D,D,E,E,D,E,D,D,D,E,D,C,4,5,3,2,5,2.204794182,-1.281929408,1.696456368,0.811017467
RESP_017,女,2021级及以前,人文与艺术类（含文学、历史、哲学、新闻等）,较少使用（1-7小时）,生成创意、获取灵感和写作大纲,比较积极,一般,很少会,提升较大,外国文学史,85,同声传译基础,92,文体学,88,外语戏剧表演,89,0,0,1,1,1,E,E,D,D,E,D,B,E,E,E,E,D,E,E,C,C,C,C,B,D,C,B,C,C,D,C,B,D,D,B,C,C,A,B,C,B,D,2,4,3,2,4,2.482382065,0.893317901,0.184836124,-0.55835778
RESP_018,女,2021级及以前,经管与社科类（含经济、管理、法律、社会学等）,频繁使用（16小时以上）,搜集和概括文献资料,中立,一般,从不,一般,翻译理论与实践,81,影视翻译,88,跨文化交际,84,同声传译基础,86,1,1,1,1,0,B,C,C,D,C,C,A,C,A,B,C,A,B,D,B,C,D,C,B,A,C,C,A,C,A,E,B,A,C,C,C,C,B,D,B,D,D,4,3,3,1,3,-0.066044728,0.096120777,-0.462275289,-0.434496227
RESP_019,男,2023级,人文与艺术类（含文学、历史、哲学、新闻等）,中等使用（8-15小时）,解答课程疑难问题,非常消极,比较强,从不,提升较大,热力学与统计物理,84,工程经济学,92,电子技术,90,虚拟现实技术,92,1,0,0,1,0,E,E,E,E,E,D,E,D,D,C,A,A,A,A,A,C,C,E,B,C,C,B,C,A,C,B,D,D,B,C,D,C,A,A,A,C,A,3,1,4,1,4,2.60530014,-1.437739984,-0.330996955,-0.323140526
RESP_020,女,2022级,外语类,频繁使用（16小时以上）,文本润色、翻译与内容总结,中立,比较弱,很少会,一般,语言测试学,88,同声传译基础,95,跨文化交际,91,外语国家概况,92,0,1,1,0,0,E,E,E,E,E,E,D,D,D,D,D,E,E,E,E,E,E,B,E,C,D,D,C,E,D,B,D,C,C,B,C,B,C,C,D,B,C,4,3,2,2,3,1.61929559,1.382158991,0.448709888,-0.16711808
RESP_021,男,2023级,生化环材类（包含环境工程、化学、生物学、材料等）,较少使用（1-7小时）,编程辅助与代码调试,中立,比较强,总是会,提升较小,分析化学,85,药物化学,93,遗传学,91,纳米材料导论,92,1,0,0,0,1,B,B,E,E,D,E,E,C,E,C,D,B,E,E,E,E,D,C,A,E,C,A,B,D,E,E,C,E,E,E,D,D,C,D,E,D,E,2,3,4,5,2,0.722457328,0.650201178,0.100824136,1.546636996
RESP_022,女,2024级,信息类（含计算机、电信、通信工程等）,频繁使用（16小时以上）,解答课程疑难问题,比较积极,比较强,有时会,提升较小,数据库原理,83,人工智能导论,91,算法设计与分析,88,数字图像处理,88,0,0,1,0,1,B,A,C,B,B,D,B,D,C,E,C,E,E,E,E,E,E,A,D,E,E,E,D,E,C,C,C,C,D,A,C,B,B,B,C,C,B,4,4,4,3,2,-0.708364689,1.903398302,1.077362291,-0.520964174
RESP_023,男,2021级及以前,数学与统计类,中等使用（8-15小时）,搜集和概括文献资料,非常消极,一般,经常会,一般,抽象代数,87,优化方法,95,数理逻辑,92,数学建模,92,1,1,1,0,1,B,A,A,B,C,A,A,B,A,C,D,C,A,A,E,A,D,E,C,E,E,E,E,D,E,C,B,C,C,B,B,E,D,A,C,E,C,3,1,3,4,3,-1.518584074,-0.400776877,0.64719594,-0.483186462
RESP_024,男,2022级,数学与统计类,中等使用（8-15小时）,解答课程疑难问题,非常积极,一般,有时会,一般,拓扑学,83,统计软件应用,90,高等数学,86,金融数学,87,0,1,1,1,1,D,C,B,E,B,B,A,C,E,E,E,E,A,D,E,E,D,D,D,D,C,B,B,D,E,C,B,C,D,D,B,D,C,C,D,C,B,3,5,3,3,3,-0.278115161,2.300759791,0.850221742,-0.348652134
RESP_025,男,2022级,经管与社科类（含经济、管理、法律、社会学等）,频繁使用（16小时以上）,文本润色、翻译与内容总结,非常积极,比较弱,很少会,提升较大,社会调查研究方法,78,公共关系学,86,会计学原理,83,领导力开发,85,0,1,1,1,0,B,D,E,C,B,E,A,B,D,E,E,D,E,E,C,E,E,A,B,A,A,C,A,A,A,C,C,D,C,B,C,D,E,B,D,C,C,4,5,2,2,4,-0.693004913,2.433431532,-1.346345393,0.602635465
RESP_026,女,2021级及以前,数学与统计类,中等使用（8-15小时）,生成创意、获取灵感和写作大纲,比较积极,比较弱,很少会,一般,偏微分方程,84,数学建模,92,实变函数,88,图论及其应用,88,1,0,1,0,0,E,D,C,A,C,C,C,D,C,C,B,D,C,E,B,D,D,C,D,D,A,C,C,B,D,A,B,A,B,B,B,A,C,C,C,D,B,3,4,2,2,3,0.431191424,0.504201104,-0.262593128,-0.753964589
RESP_027,男,2022级,外语类,频繁使用（16小时以上）,生成创意、获取灵感和写作大纲,比较积极,一般,很少会,提升非常大,外国文学史,82,外语影视配音,91,词汇学,88,商务外语,90,1,0,0,0,1,E,E,E,E,E,E,D,E,E,B,A,B,B,C,D,A,C,B,D,D,B,C,C,D,B,C,C,D,D,C,E,E,C,D,E,C,E,4,4,3,2,5,2.595149128,-0.787598419,0.30982071,1.233776881
RESP_028,男,2022级,信息类（含计算机、电信、通信工程等）,中等使用（8-15小时）,搜集和概括文献资料,非常积极,一般,经常会,提升较大,计算机组成原理,78,数据可视化,86,软件工程,84,移动应用开发,86,1,1,0,1,0,E,B,C,A,A,B,B,C,C,B,C,B,A,D,A,C,C,B,E,A,D,D,E,D,D,E,D,C,E,B,C,E,D,D,C,E,C,3,5,3,4,4,-0.753907641,0.064470057,1.236093175,1.391310121
RESP_029,女,2022级,外语类,中等使用（8-15小时）,文本润色、翻译与内容总结,非常积极,比较弱,从不,提升较大,组织行为学,79,项目管理,88,微观经济学,84,领导力开发,87,0,0,0,1,1,E,E,C,B,D,D,D,D,D,E,C,C,B,D,D,D,D,B,A,A,B,A,A,A,B,C,C,A,A,A,B,A,A,A,C,C,A,3,5,2,1,4,0.707810306,0.81035262,-1.511836232,-0.765113663
RESP_030,男,2024级,生化环材类（包含环境工程、化学、生物学、材料等）,频繁使用（16小时以上）,解答课程疑难问题,比较积极,一般,总是会,提升非常大,分析化学,85,生态保护,93,有机化学,88,生物信息学,89,1,0,0,1,0,D,D,B,C,E,D,C,C,D,B,B,A,C,B,A,A,B,B,C,B,C,D,B,D,C,D,D,C,B,B,C,E,C,D,C,D,C,4,4,3,5,5,0.841804005,-1.078911569,0.18335992,0.584690151
RESP_031,女,2024级,人文与艺术类（含文学、历史、哲学、新闻等）,中等使用（8-15小时）,文本润色、翻译与内容总结,比较积极,比较强,经常会,提升非常大,美学原理,83,公共演讲,92,文艺理论,89,影视鉴赏,91,1,1,0,1,1,E,E,D,D,A,D,E,C,D,A,E,E,D,E,E,E,C,B,A,D,A,D,C,B,B,A,C,B,C,C,D,D,C,B,B,B,B,3,4,4,4,5,0.868953311,1.396047686,-0.556795089,-0.821810667
RESP_032,女,2021级及以前,数学与统计类,频繁使用（16小时以上）,搜集和概括文献资料,非常积极,比较强,经常会,提升较大,古典文献学,83,艺术批评,91,传播学理论,88,影视鉴赏,89,0,1,0,1,0,E,E,A,D,D,D,C,E,C,C,D,E,C,E,E,E,E,C,D,B,B,B,C,D,C,E,E,B,D,E,E,E,B,C,D,C,D,4,5,4,4,4,1.036364019,2.038283071,0.221271577,0.608833013
RESP_033,男,2024级,数学与统计类,频繁使用（16小时以上）,解答课程疑难问题,比较积极,一般,很少会,提升非常大,概率论与数理统计,88,金融数学,96,抽象代数,93,精算学基础,92,1,1,0,1,0,E,E,B,E,E,E,B,C,E,C,C,C,E,D,D,A,E,D,C,C,C,C,D,D,C,E,E,E,E,E,D,A,D,E,C,E,E,4,4,3,2,5,3.008199286,-0.164247599,0.184551303,2.142109953
RESP_034,女,2021级及以前,信息类（含计算机、电信、通信工程等）,中等使用（8-15小时）,编程辅助与代码调试,比较积极,一般,很少会,一般,文化研究导论,81,创意写作,89,中国文学史,84,艺术批评,86,1,0,1,1,1,D,D,C,C,D,B,D,C,C,B,B,A,B,B,B,A,A,A,A,A,B,A,A,D,A,E,C,E,D,D,C,E,C,C,D,B,D,3,4,3,2,3,-0.38270084,-0.769916836,-2.872262213,-0.027514905
RESP_035,男,2024级,人文与艺术类（含文学、历史、哲学、新闻等）,较少使用（1-7小时）,解答课程疑难问题,比较积极,比较强,从不,一般,泛函分析,87,贝叶斯统计,94,复变函数,90,时间序列分析,91,1,1,0,1,0,D,C,C,E,A,C,A,C,D,B,C,D,D,D,C,E,C,E,D,D,E,E,A,E,C,A,B,D,D,A,C,D,E,C,B,C,D,2,4,4,1,3,-0.08832015,0.8288165,0.893105607,0.176441555
RESP_036,男,2024级,信息类（含计算机、电信、通信工程等）,中等使用（8-15小时）,编程辅助与代码调试,中立,一般,从不,提升较大,计算机图形学,90,物联网导论,97,离散数学,92,自然语言处理,92,0,1,1,1,0,B,B,C,C,C,D,B,C,B,E,B,B,A,B,B,B,A,E,D,D,D,E,D,C,E,C,C,D,C,C,D,B,A,A,C,C,C,3,3,3,1,4,-0.696356655,-0.643549832,1.029960818,-0.034775332
RESP_037,女,2024级,数学与统计类,较少使用（1-7小时）,生成创意、获取灵感和写作大纲,比较积极,一般,很少会,一般,偏微分方程,85,精算学基础,93,复变函数,90,时间序列分析,90,0,1,1,0,0,B,A,B,B,B,A,C,B,B,D,C,C,C,D,D,D,C,C,C,C,B,C,B,D,D,B,B,C,A,B,A,B,B,C,C,A,B,2,4,3,2,3,-0.581620313,0.80373009,-0.024195606,-0.903701861
RESP_038,男,2021级及以前,经管与社科类（含经济、管理、法律、社会学等）,较少使用（1-7小时）,搜集和概括文献资料,中立,比较弱,总是会,没有提升,宏观经济学,85,社会心理学,94,会计学原理,92,国际贸易实务,92,1,0,1,0,1,E,E,D,E,D,A,E,C,C,B,C,C,C,B,C,A,C,D,D,D,E,D,C,C,D,D,C,D,D,B,B,C,C,D,A,D,A,2,3,2,5,1,0.935982116,-0.535963445,0.608057798,-0.232712687
RESP_039,女,2022级,信息类（含计算机、电信、通信工程等）,中等使用（8-15小时）,编程辅助与代码调试,比较消极,一般,很少会,提升较大,计算机网络,86,物联网导论,94,编译原理,90,Web开发技术,91,1,1,1,0,1,D,E,D,B,D,C,E,B,C,E,C,B,A,A,B,A,B,B,A,A,B,B,D,C,B,A,B,C,B,C,C,B,E,C,A,B,C,3,2,3,2,4,0.344607455,-1.142470586,-1.320022511,-0.311769091
RESP_040,男,2024级,信息类（含计算机、电信、通信工程等）,较少使用（1-7小时）,生成创意、获取灵感和写作大纲,比较积极,一般,经常会,一般,计算机组成原理,88,区块链技术,95,计算机体系结构,92,信息安全概论,92,1,1,1,1,0,C,B,D,D,D,C,C,C,C,B,D,C,D,C,C,D,C,C,B,D,B,B,A,C,B,C,E,C,B,C,B,D,C,C,C,C,E,2,4,3,4,3,-0.073148117,0.175144018,-0.650002581,0.168654672
RESP_041,女,2023级,物理与工程类（含物理、机械、电子、电气等）,中等使用（8-15小时）,文本润色、翻译与内容总结,比较积极,一般,很少会,一般,机械设计基础,87,新能源技术,95,材料力学,91,机器人技术基础,92,0,1,1,0,0,B,D,E,C,C,C,A,C,C,B,C,C,B,D,C,A,C,E,E,A,B,C,D,D,C,D,B,D,C,A,D,D,B,B,A,C,D,3,4,3,2,3,-0.260814288,-0.705704668,-0.21492103,-0.308034284
RESP_042,女,2024级,数学与统计类,中等使用（8-15小时）,生成创意、获取灵感和写作大纲,中立,比较弱,有时会,提升较大,高等数学,86,数学史,94,数理逻辑,91,数据科学导论,90,1,1,1,1,0,C,B,B,B,A,C,B,D,D,C,C,A,D,D,A,B,D,D,B,C,C,C,B,A,B,A,A,A,A,B,D,A,A,D,A,B,B,3,3,2,3,4,-0.470847598,-0.168143819,-0.672090578,-1.67929981
RESP_043,男,2024级,外语类,中等使用（8-15小时）,编程辅助与代码调试,非常消极,一般,很少会,一般,词汇学,81,同声传译基础,89,跨文化交际,86,影视翻译,88,1,0,1,1,1,B,D,E,B,D,B,B,D,D,B,C,B,A,A,B,B,C,A,E,D,C,D,C,C,E,B,B,A,B,B,D,B,C,C,D,C,C,3,1,3,2,3,0.239580681,-0.99733842,-0.151273284,-0.19490828
RESP_044,女,2022级,物理与工程类（含物理、机械、电子、电气等）,较少使用（1-7小时）,生成创意、获取灵感和写作大纲,中立,一般,总是会,提升非常大,电路原理,89,工程伦理,97,信号与系统,93,智能制造导论,92,0,1,1,0,0,A,A,A,B,A,A,A,B,A,C,B,B,C,B,B,A,D,D,A,B,B,A,B,A,A,D,E,C,A,B,D,D,C,E,E,D,D,2,3,3,5,5,-0.912724779,-0.76914235,-0.939903101,1.429474842
RESP_045,女,2022级,人文与艺术类（含文学、历史、哲学、新闻等）,中等使用（8-15小时）,解答课程疑难问题,比较积极,比较强,很少会,提升较大,世界历史概论,78,跨文化沟通,85,文化研究导论,81,媒介素养,83,1,1,1,0,1,D,C,A,C,C,D,E,C,D,D,D,C,D,E,E,B,D,C,D,A,B,A,D,C,C,E,D,B,E,D,D,D,D,D,E,D,D,3,4,4,2,4,0.343589911,1.250897962,0.062628212,0.69046485
RESP_046,男,2022级,物理与工程类（含物理、机械、电子、电气等）,较少使用（1-7小时）,文本润色、翻译与内容总结,中立,比较强,很少会,一般,自动控制原理,80,新能源技术,88,工程热力学,84,工程伦理,86,1,1,0,0,0,D,B,D,B,C,B,B,C,B,D,B,C,A,D,D,D,D,E,D,C,E,D,D,D,D,C,D,B,C,C,D,B,C,D,B,C,A,2,3,4,2,3,0.488391926,-0.328618476,0.803187431,-0.544114002
RESP_047,女,2023级,外语类,较少使用（1-7小时）,生成创意、获取灵感和写作大纲,比较积极,一般,很少会,一般,外国文学史,78,外语国家概况,86,语言测试学,82,外语歌曲赏析,83,0,1,1,0,0,C,D,A,A,B,D,D,D,D,B,A,A,C,B,B,C,C,D,B,A,B,A,A,A,B,B,A,B,B,C,B,D,C,C,C,B,D,2,4,3,2,3,0.080700906,-0.860164765,-0.616361408,-0.37519638
RESP_048,女,2024级,物理与工程类（含物理、机械、电子、电气等）,较少使用（1-7小时）,文本润色、翻译与内容总结,非常消极,比较强,很少会,没有提升,热力学与统计物理,83,质量控制,91,电磁场与电磁波,88,工业设计,90,1,0,0,1,0,B,A,B,B,E,E,C,C,B,A,A,A,A,A,A,A,A,D,D,D,D,C,D,E,E,D,E,D,E,E,E,C,D,D,E,D,D,2,1,4,2,1,-0.130852223,-1.441486909,0.687872285,1.20434811
RESP_049,女,2021级及以前,信息类（含计算机、电信、通信工程等）,中等使用（8-15小时）,解答课程疑难问题,非常积极,比较强,很少会,提升较大,软件工程,80,区块链技术,88,算法设计与分析,84,人工智能导论,86,1,1,1,0,0,D,D,C,E,E,D,D,A,D,E,E,D,D,E,C,E,D,C,A,C,B,B,B,C,A,E,E,E,E,C,E,E,E,E,E,E,D,3,5,4,2,4,0.73441298,2.776440585,-1.364241612,1.917212575
RESP_050,女,2024级,外语类,中等使用（8-15小时）,文本润色、翻译与内容总结,中立,比较强,有时会,提升较小,语法理论,81,旅游外语,88,跨文化交际,84,外语媒体研究,86,1,0,0,0,1,E,D,C,E,A,C,E,D,B,E,A,E,D,E,B,E,D,D,E,D,D,C,E,E,D,B,A,B,C,C,C,C,D,B,C,D,B,3,3,4,3,2,1.572369862,1.738899664,1.178858051,-0.214681857
RESP_051,男,2021级及以前,生化环材类（包含环境工程、化学、生物学、材料等）,中等使用（8-15小时）,解答课程疑难问题,中立,非常强,很少会,没有提升,化工原理,85,科技论文写作,92,有机化学,89,生物技术导论,90,0,1,0,1,1,C,D,B,C,E,C,C,C,C,D,E,E,C,B,D,C,A,C,D,C,D,C,C,E,C,D,E,D,D,B,B,B,D,C,D,A,A,3,3,5,2,1,-0.207029201,0.890383164,0.975205016,-0.099334279
RESP_052,男,2021级及以前,物理与工程类（含物理、机械、电子、电气等）,频繁使用（16小时以上）,文本润色、翻译与内容总结,非常积极,一般,很少会,提升非常大,信号与系统,83,3D打印技术,91,机械设计基础,86,科技创新方法,88,1,0,1,0,1,D,E,A,C,D,C,A,B,A,A,E,E,E,E,E,E,E,D,C,A,D,E,C,C,C,E,D,B,A,E,D,D,C,E,B,B,D,4,5,3,2,5,-0.507150915,1.143787882,-0.048652352,0.632796995
RESP_053,男,2021级及以前,物理与工程类（含物理、机械、电子、电气等）,中等使用（8-15小时）,解答课程疑难问题,比较积极,比较强,有时会,没有提升,流体力学,85,质量控制,93,自动控制原理,88,工业设计,89,1,1,0,0,1,D,C,B,C,C,D,A,D,E,C,E,E,E,D,E,D,B,B,B,D,A,A,C,B,B,B,B,B,D,B,A,D,B,A,C,B,A,3,4,4,3,1,-0.184077231,0.964605926,-0.819664339,-0.623552151
RESP_054,男,2022级,人文与艺术类（含文学、历史、哲学、新闻等）,中等使用（8-15小时）,生成创意、获取灵感和写作大纲,比较积极,一般,从不,一般,文化研究导论,84,纪录片研究,91,中国哲学史,89,影视鉴赏,88,0,1,1,0,0,E,C,E,A,C,D,E,E,E,B,A,A,D,D,D,A,B,E,C,C,E,E,E,D,D,B,A,E,B,C,C,B,B,A,D,C,D,3,4,3,1,3,1.603260663,-0.9386058,0.692918623,-0.605860821
RESP_055,女,2022级,物理与工程类（含物理、机械、电子、电气等）,频繁使用（16小时以上）,编程辅助与代码调试,非常积极,一般,很少会,提升较大,机械设计基础,85,工业设计,93,自动控制原理,91,机器人技术基础,92,1,0,0,1,0,B,C,C,D,C,C,B,D,C,D,D,C,E,E,E,E,E,C,E,C,C,D,D,E,C,C,C,C,D,B,D,B,D,C,C,D,D,4,5,3,2,4,0.136470314,1.721801502,0.482687887,0.72009449
RESP_056,男,2024级,数学与统计类,中等使用（8-15小时）,解答课程疑难问题,比较积极,比较强,有时会,提升较小,高等数学,73,图论及其应用,81,线性代数,78,时间序列分析,80,1,1,1,0,0,A,D,B,C,A,E,B,B,A,D,C,D,A,D,B,A,D,C,A,C,C,D,C,C,B,E,E,E,E,E,D,E,C,E,E,E,E,3,4,4,3,2,-1.298591415,0.100323352,0.149795383,2.320793091
